Time,Conductivity (mS),Temperature (C)
16:57:42,0.466,21.2
0,0,0
0,0,0
16:57:44,0.466,21.2
0,0,0
0,0,0
16:57:46,0.466,21.2
0,0,0
0,0,0
16:57:48,0.466,21.2
0,0,0
0,0,0
16:57:50,0.466,21.2
0,0,0
0,0,0
16:57:52,0.466,21.2
0,0,0
0,0,0
16:57:54,0.466,21.2
0,0,0
0,0,0
16:57:56,0.466,21.2
0,0,0
0,0,0
16:57:58,0.466,21.2
0,0,0
0,0,0
16:58:00,0.466,21.2
0,0,0
0,0,0
16:58:02,0.466,21.2
0,0,0
0,0,0
16:58:04,0.466,21.2
0,0,0
0,0,0
16:58:06,0.466,21.2
0,0,0
0,0,0
16:58:08,0.466,21.2
0,0,0
0,0,0
16:58:10,0.466,21.2
0,0,0
0,0,0
16:58:12,0.466,21.2
0,0,0
0,0,0
16:58:14,0.466,21.2
0,0,0
0,0,0
16:58:16,0.466,21.2
0,0,0
0,0,0
16:58:18,0.466,21.2
0,0,0
0,0,0
16:58:20,0.466,21.2
0,0,0
0,0,0
16:58:22,0.466,21.2
0,0,0
0,0,0
16:58:24,0.466,21.2
0,0,0
0,0,0
16:58:26,0.466,21.2
0,0,0
0,0,0
16:58:28,0.466,21.2
0,0,0
0,0,0
16:58:30,0.466,21.2
0,0,0
0,0,0
16:58:32,0.466,21.2
0,0,0
0,0,0
16:58:34,0.466,21.2
0,0,0
0,0,0
16:58:36,0.467,21.2
0,0,0
0,0,0
16:58:38,0.467,21.2
