Time,Conductivity (mS),Conductivity @25*C (mS),Temperature_1,Temperature_2
14:02:10,1089.00,1172.54,21.25,24.25
14:02:11,1089.00,1197.03,20.25,24.00
14:02:12,1090.00,1191.91,20.50,24.25
14:02:13,1091.00,1180.74,21.00,24.00
14:02:14,1092.00,1181.82,21.00,24.00
14:02:15,1093.00,1189.01,20.75,24.25
14:02:16,1094.00,1177.93,21.25,24.00
14:02:17,1094.00,1190.10,20.75,24.00
14:02:18,1095.00,1197.38,20.50,23.75
14:02:19,1095.00,1179.00,21.25,23.50
14:02:20,1097.00,1181.16,21.25,23.75
14:02:21,1097.00,1205.83,20.25,24.00
14:02:22,1098.00,1194.45,20.75,24.25
14:02:23,1098.00,1219.66,19.75,24.25
14:02:24,1098.00,1200.66,20.50,24.00
14:02:25,1099.00,1183.31,21.25,24.25
14:02:26,1100.00,1209.12,20.25,23.50
14:02:27,1101.00,1197.72,20.75,23.50
14:02:28,1102.00,1192.64,21.00,24.25
14:02:29,1103.00,1199.89,20.75,24.00
14:02:30,1103.00,1199.89,20.75,24.00
14:02:31,1104.00,1194.81,21.00,24.25
14:02:32,1103.00,1199.89,20.75,24.25
14:02:33,1105.00,1220.99,20.00,24.25
14:02:34,1106.00,1190.85,21.25,24.25
14:02:35,1106.00,1203.15,20.75,24.00
14:02:36,1105.00,1220.99,20.00,24.00
14:02:36,1107.00,1204.24,20.75,24.25
14:02:37,1107.00,1204.24,20.75,24.00
14:02:38,1108.00,1211.59,20.50,24.00
14:02:39,1109.00,1194.08,21.25,23.75
14:02:40,1110.00,1207.51,20.75,23.75
14:02:41,1111.00,1208.59,20.75,23.75
14:02:42,1110.00,1195.15,21.25,24.25
14:02:43,1111.00,1196.23,21.25,24.00
14:02:44,1112.00,1235.21,19.75,24.50
14:02:45,1113.00,1204.55,21.00,24.00
